year,avg_temp
1796,25.05
1797,26.71
1798,24.19
1799,25.31
1800,25.25
1801,24.11
1802,25.69
1803,25.44
1804,25.76
1805,25.35
1806,25.26
1807,24.86
1808,
1809,
1810,
1811,
1812,
1813,24.60
1814,23.71
1815,24.13
1816,23.77
1817,23.91
1818,24.32
1819,23.93
1820,24.15
1821,24.88
1822,24.98
1823,24.73
1824,25.35
1825,25.15
1826,25.17
1827,25.36
1828,24.95
1829,24.76
1830,25.08
1831,24.51
1832,24.72
1833,24.89
1834,24.84
1835,23.93
1836,24.61
1837,24.50
1838,24.48
1839,24.56
1840,24.79
1841,24.57
1842,24.79
1843,24.75
1844,24.39
1845,24.65
1846,25.15
1847,24.67
1848,24.52
1849,24.53
1850,24.86
1851,24.82
1852,24.67
1853,24.97
1854,25.08
1855,25.23
1856,23.84
1857,24.32
1858,
1859,
1860,
1861,
1862,
1863,
1864,
1865,27.27
1866,15.61
1867,20.43
1868,24.91
1869,25.06
1870,24.91
1871,24.95
1872,24.97
1873,25.08
1874,25.01
1875,25.39
1876,25.05
1877,25.30
1878,25.42
1879,24.79
1880,25.37
1881,24.93
1882,24.84
1883,24.87
1884,24.64
1885,24.49
1886,24.92
1887,24.87
1888,24.93
1889,25.32
1890,25.09
1891,24.72
1892,25.50
1893,23.92
1894,24.89
1895,25.20
1896,26.04
1897,25.67
1898,25.50
1899,25.73
1900,25.68
1901,25.55
1902,25.72
1903,25.20
1904,24.99
1905,24.83
1906,25.22
1907,25.12
1908,25.22
1909,24.82
1910,24.87
1911,25.38
1912,25.28
1913,25.11
1914,25.31
1915,25.67
1916,25.02
1917,23.90
1918,25.36
1919,24.92
1920,25.16
1921,25.98
1922,25.19
1923,25.40
1924,25.11
1925,24.89
1926,24.95
1927,24.89
1928,25.75
1929,25.51
1930,25.37
1931,25.76
1932,25.66
1933,24.65
1934,24.97
1935,24.94
1936,24.79
1937,24.85
1938,25.24
1939,25.18
1940,25.08
1941,26.31
1942,25.52
1943,25.31
1944,25.02
1945,24.84
1946,25.48
1947,25.62
1948,25.49
1949,25.59
1950,24.79
1951,25.55
1952,25.80
1953,26.09
1954,25.68
1955,25.13
1956,25.20
1957,24.98
1958,26.09
1959,25.67
1960,25.64
1961,24.91
1962,25.26
1963,25.44
1964,25.34
1965,25.47
1966,25.87
1967,25.15
1968,25.05
1969,25.84
1970,25.37
1971,24.57
1972,25.50
1973,25.72
1974,25.63
1975,25.22
1976,25.53
1977,25.59
1978,25.21
1979,26.03
1980,25.96
1981,25.78
1982,25.37
1983,24.84
1984,25.51
1985,25.83
1986,25.44
1987,26.43
1988,26.06
1989,25.47
1990,25.58
1991,25.85
1992,25.69
1993,25.88
1994,25.75
1995,25.86
1996,25.63
1997,24.92
1998,25.91
1999,26.12
2000,25.98
2001,25.76
2002,26.66
2003,25.84
2004,26.11
2005,25.85
2006,26.34
2007,26.00
2008,25.57
2009,26.55
2010,26.51
2011,25.53
2012,25.86
2013,26.69
